DATA_YM,AREA_ID,AREA_NM,DIST_CD,DIST_NM,TOTAL_BIDG,FAC_NEIGH_1,FAC_NEIGH_2,FAC_CULT_MTG,FAC_RELG,FAC_RETAIL,FAC_MEDI,FAC_YOSE,FAC_TRAIN,FAC_SPORT,FAC_STAY,FAC_LEISURE,TOTAL_GAS,CMRC_GAS,TOTAL_ELEC
202402,9370,신사동사로수길_2,11680,강남구,286.0,50.0,146.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1422025,1215036,3501.963
202211,10150,부평문화의거리,28237,부평구,334.0,153.0,79.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,6.0,708207,464454,1829.754
202404,10040,화정역_1,41281,고양시 덕양구,60.0,15.0,23.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1007727,892825,4220.748
202307,9974,양평역_3,41830,양평군,213.0,51.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,149802,135449,966.525
202212,10275,충북혁신도시,43770,음성군,164.0,40.0,26.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,240450,28027,1831.303
202303,9406,화천공용버스터미널,51790,화천군,283.0,101.0,70.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,19.0,6.0,0,0,0.0
202403,10002,가능역,41150,의정부시,58.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45931,45931,28.726
202402,9422,단구동 프리미엄아울렛,51130,원주시,38.0,3.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,246544,81328,575.882
202303,10104,인하대 후문,28177,미추홀구,139.0,40.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,664123,635240,600.497
202307,10368,아주대삼거리_4,41117,수원시 영통구,188.0,18.0,49.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,216083,213771,859.883
202409,9265,석촌역,11710,송파구,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15757,15757,110.78
202404,9984,판교역,41135,성남시 분당구,32.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1504324,802099,10795.571
202409,9697,효자동_2,47111,포항시 남구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
202312,9225,가산디지털단지역_1,11545,금천구,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1837741,0,8227.327
202208,9617,신당동,27290,달서구,180.0,39.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,28.0,9.0,577887,249413,2189.761
202402,9589,김해시청,48250,김해시,690.0,189.0,124.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,68.0,16.0,1400348,746068,3193.649
202403,9954,미금역_1,41135,성남시 분당구,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103048,37204,589.671
202303,9289,삼성역_2,11680,강남구,45.0,5.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,966051,761414,1853.146
202301,10123,연수2동_1,28185,연수구,171.0,9.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1165647,424331,1490.872
202208,9612,상인역_1,27290,달서구,71.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24923,24805,286.274
202303,9542,울산시청,31140,남구,203.0,49.0,37.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,1.0,444324,310425,858.535
202311,9343,노량진역,11590,동작구,261.0,58.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1614204,1163934,1835.764
202409,9968,신흥역_1,41133,성남시 중원구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
202309,9732,금남로4가역_3,29110,동구,392.0,124.0,163.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,22.0,7.0,1074998,986392,3051.735
202207,10065,법원사거리,41480,파주시,284.0,104.0,24.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,53642,51336,281.017
202307,9754,장미의거리,46110,목포시,143.0,62.0,68.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,106214,106214,925.55
202309,9621,대신동_2,27110,중구,19.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23477,12,142.161
202211,9568,진해역,48129,창원시 진해구,225.0,77.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,19.0,31134,31134,323.603
